lang	sentiment	text	num_tokens
est	negative	Sellest edevast ambitsioonist on lähtunud ka Ilvese arrogantne suhtumine Ühendriikide ja Suurbritannia poolt juudibolševistlikule CCCPile orjaks müüdud eestlastesse, tema pidev rabilik tänitamine nii kodueestlaste kui Kodu-Eesti Balti saatusekaaslaste ja koguni Ida- ja Kesk-Euroopa poole.	36
est	negative	«Majad saavad sel moel kokku variseda vaid siis, kui neid ehitada saviplonnidest ja sõnnikust,» väitis president.	21
est	negative	kellel need lahedad lendlevad persekarvad on? Kas sinul või kassil? Miäu sa muidugi juba meil teed, aga .... karvad, lase tulla - kellel?	28
est	negative	Ole pealegi see samune, aga milleks on vaja seda veel sellise uhkusega pasundada, et oled seesamne ja kui vabastav on kapist väljuda.	25
est	negative	Arvutist kontrollitud järjekorra pikkusele ja ooteajale, mis meie puhul väideti olevat paar tundi, ei maksvat tähelepanu pöörata – see ei ole mingi näitaja… Näitajaks oleks meie üldiseks pettumuseks ja imestuseks pidanud olema hoopis 50-eurone. Muutunud maailm meie ümber ei lasknud uskuda tõsiasja, et Euroopa Liidu idapiiril Eesti Vabariigis on selline olukord veel võimalik. Olgu öeldud, et meie siiski eirasime omaloomingulist maksusoovi ja saime viimaks pärast kuue ja poole tunni pikkust ootamist piirijärjekorda tänu hea reisikaaslase puudetõendile.	83
est	negative	Otsustasin omal ajal sama. Ei saa aru inimestest, kes arvavad, et on vajalik inimhinge eetilistel põhjustel väärastunud kehas kannatamas hoida. Meid ümbritsev elukeskkond ja söödav toit on niivõrd saastunud, et arvatavasti muteerunud/moondunud olendite sündide arv tõuseb.	42
est	negative	Saksa loomaaias tappis tiiger talitaja	5
est	negative	loll mõte. ei poolda. saan veel aru. et 15 20 min. enne aga tund on juba saamatus.	22
fin	negative	yritin puhua järkeä mutta ei..	6
fin	negative	Tunnin tai maksimissaan kaksi tuntia seisoo, sen jälkeen ei samana iltana, ei vaikka mikä olis :(	19
fin	negative	Mun mielestä myös Somalia on toooodella ahdas ja sisäänpäinkääntynyt.	10
fin	negative	Ärkkopee ohitettiin kokonaan!!!!!!!!!!!!	15
fin	negative	Taas pökälehdit näköjään palstalla.	5
fin	negative	- Osa heistä oleilee Suomessa pysyvästi ja sen LISÄKSI ON HAVAITTU (!) henkilöiden lyhyitä käyntejä maassamme, sanoo Supon päällikkö Seppo Nevala.	25
fin	negative	Tai siis palkoista ei ainakaan uutisissa ole hiiskuttukaan, vaan koko ajan on vain toitotettu "osa-aikaorjiksi alistettujen vapauttamista".	21
fin	negative	Halpatuotantoa joka vain on brändätty.	6
fin	negative	En oikein tajua että miksi ylipäätään tänne kirjoitit kun varmaan tiedät itsekin mitä sun on tehtävä.	17
fin	negative	Sitäkin näille onnettomille reppanoille piti saada.	7
fin	negative	Vaikka olisi laki, voi olla ettei marssi tai rynkyn antaminen voi olla se viimeinen virhe.	17
fin	negative	Ei ole mielenkiintoa sen kummemmin esitellä itseäni ja elämääni, sen verran erakko olen ja erakkona pysyn.	18
fin	negative	MIKSEI TUOLLAISTA SAIRASTA KÄYTÖSTÄ VOISI LOPETTAA!?!? kyllä minusta on todella kuvottaca ajatus syldä koiraa koska tuntuisi että söisi oman lemmikin :(	26
fin	negative	Työvoimatoimistot voi lakkauttaa.	4
fin	negative	Tosta ikonista voi jättää i:n pois :)))	12
fin	negative	Huonoa musiikkia siellä oli, aivan älyttömän huonoa, peräti Elastinen räppäsi, kamala tyyppi.	16
fin	negative	Kivaa renkutusta YleX:llä!	6
fin	negative	suurin osa saa tuomionsa ja jäännös pelastuu?!	9
fin	negative	Ja muistan penskana, kuinka iso-mummoni (suvussa ei pahemmin ollut samanikäisiä tyttöjä) paheksui käyttäytymistäni "piikalapsena".	20
fin	negative	Älä huolestu, kyllä sinullekin vielä aivot kasvaa.	9
fin	negative	SANOA MIELIPITEENI!!!	5
fin	negative	On hyvä että tämä yksi mätäpaise-kaalimaan vartija lähtee vekeen, mutta tuleeko samanlainen tilalle.	15
fin	negative	Yritän antaa hänelle huomiota, mutta saan tylyä kohtelua takaisin.	11
