lang	sentiment	text
fin	-1	Mä olin jo niin pettynyt."
fin	-1	Kun katselee eduskuntaan valittuja eri aikakausina edellisen teorian voi pistää ainakin osittain roskakoppaan.
fin	-1	Yliannostus amerikkalalaisutta on siis saatu.
fin	-1	:DDDDDDDDDDDDDDDDDD voi vittu nyt siihen menee oma aikansa, suihin otto ei vaan ole kaikkien naisten juttu ja se on varmasi valitettavaa.
fin	-1	Ensinnäkin talon pystyttämisestä tuli painajainen, osat loppui koko ajan kesken, laatu oli paljon huonompi kuin myyjän näyttämissä kuvissa.
fin	-1	Siksi varmaan unohdin, ku mun vihannekset ovat useimmiten pakastevihanneksia :(
fin	-1	Köyhät on lyöty kyykkyyn, ne on tuolla leipäjonoissa.
fin	-1	Minä olen kärsinyt suunnattomasti paniikkihäiriöistä.
fin	-1	Sofia ei osaa kirjoittaa kunnolla suomeksi.
fin	-1	Voi Vittu sentään!
fin	-1	-.-
fin	-1	Lisää ajotunteja kantsii varmaan ottaa...
fin	-1	Miltä sinusta tuntuu jäädä tekosistasi ns. nalkkiin?
fin	-1	Kaikki muu on teeskentelyä ja pelleksi ryhtymistä.
fin	-1	Tuollaisilta huijareilta tulisi sulkea pankkitilit, etteivät pääsisi netissä huijaamaan.
fin	-1	Nyt myöhemmin jollain tavalla harmittaa jos nuo joskus osoittautuvat todeksi.
fin	-1	Onpa kauhea asia.
fin	-1	Olin masentunut, kuten olen vieläkin.
fin	-1	Käski heti yöllä minun lähteä takaisin kotiini Vantaalle poliisilla uhaten .
fin	-1	Mutta mitäpä siitä sai mitä halusi.
fin	-1	Tosi kosmopoliitti, silti Kanariapalstalla meidän muiden verkaarihousutumpeloiden kanssa.
fin	-1	Ei todellakaan.
fin	-1	Kyllä on PASKA..Renkaan joutuu irroittamaan jos on 205x16 tuumaiset renkaat.
fin	-1	Nailla valuutta alustoilla kymmenia tuhansia valuuttakaupan ammattilaiset tekevat 24 tuntia vuorokaudessa kauppaa ja marginaalit (voitot/tai tappiot) ovat alle promillen luokkaa, Siihen ei paase Tamperelaisen Tissibaarin pitaja sotkemaan kuvoita.
fin	-1	Windowsin rasittavuus on ylläpito.
fin	-1	Minulla se on tuas yksinäenen viikonloppu eessä, kun ei ou kettään lähheistä immeistä.
fin	-1	Kymmenet miljoonat rullaavat tasaisesti pohjattomiin taskuihin.
fin	-1	Ja samat sanat sinulle idiootin kuvotus...
fin	-1	Missä kohtaa olen sinua nimitellyt?
fin	-1	Puhuit olleesi lukiossa, mutta edes yhdyssanat eivät ole hallussa...
fin	-1	myönnän että mulla on suuria tunteita sua kohtaan edeleen kukaan toinen ei merkitse mulle mitään niinkuin sinä olen yrittänyt unohtaa sut mut en ole siinä onnistunut pyörit mun mielessä useinkin syy miksi en ole vastannut sun huutoon on se kun olet niin helposti vietävissä mä en halua valehtelian kanssa elämää rakentaa enkä myöskään suostu olemaan mikään kakos nainen sulle enkä kenellekään muulle
