lang	sentiment	text
fin	-1	Ainiin, ehkä kaikki naiset ovat vaan niin vitun älykkäitä, että pitää olla älykäs mies.
fin	-1	Hui kauheeta!
fin	-1	Kun lapselta riistetään oikeus toiseen vanhempaansa ja hänet alistetaan keskelle aikuisten asioita, voi siitä seurata lapselle vaikeita, elämänkestoisia ongelmia, mm.masennusta, oppimishäiriöitä, tunnehäiriöitä, itsensä vanhingoittamista, pelkotiloja yms.
fin	-1	Et näköjään koskaan väsy esittelemään järkyttävän huonoa englannin kielen taitoasi.
fin	-1	Toivottavasti tuppi saa jonkun vittumaisen jälkitaudin tuosta flunssasta.
fin	-1	Noi sun jutut on aika säälittäviä ihan oikeesti,onko sulla muita harhoja ja persoonallisuuksia kun nää kaksi?
fin	-1	Jos mies, nainen oli niin p*skamainen tämä ainoa mahdollinen Piste.
fin	-1	Melkein kuin vitsi, mutta näyttää olevan tätä päivää.
fin	-1	Saivat sitten juovuspäissään lähteä yöllä halvalla lennolla Kreikkaan .
fin	-1	Keskityt nyt vaan sen pohtimiseen, mitä pikku päässäsi liikkui, kun menit tuon suhteen mokaamaan.
fin	-1	lähes aikuisen ihmisen olla niin typerä, että rikkoo itsensä harrastuksillaan.
fin	-1	Soitanko muutamiin ravintoloihin ja kerron sinusta hiukan asioita?
fin	-1	Voihan jukrahuiti,täytyykö olla elinkeinona koiria pitävä,ennen kuin mikään laki pääsee huolimattomuuteen koiriensa pidossa syyllistyneeseen käsiksi.
fin	-1	Kitisijä on siis saanut sitä 400% tuottoa rahoilleen ihan WinCaputt kusetuksen alkumetreistä alkaen.
fin	-1	Kokoomus tekee mitä tahtoo ja Jutta kerää kassaa itelleen
fin	-1	SE TUHOAA AIVOT JA TAPPAA!!!!
fin	-1	Auton ostajan olisi kannattanut sopia eikä kinastella oikeuksissa ja käyttäää aikaa yli 400 viestiin.
fin	-1	Minulla ei ole varaa olla valvomatta, ja niitä hetkiä on elämässä joissa en aina ole onnistunut valitettavasti.
fin	-1	Eikö teillä pikkusieluilla ole mitään muuta tekemistä.
fin	-1	Ei ole mielenkiintoa sen kummemmin esitellä itseäni ja elämääni, sen verran erakko olen ja erakkona pysyn.
fin	-1	Nettideittailu ei sovi mulle, kun en ole mikään missi eli en näytä valokuvissa hyvältä.
fin	-1	Ette vaan ymmärrä että teitä halveksii kaikki niin työnantajat kuin työntekijätkin.
fin	-1	Kansallissosialismilla tarkoitan nukypäivän rokkareita jotka lähes (!) poikkeuksetta uhoavat vetävänsä homoja, hoppareita, pitkätukkia tms. "erilaista" väestöä daijuun.
fin	-1	ei voi aina kaikkea ymmärtää, mitä surullisia asioita tapahtuu, mut ihminen kasvaa myös.
fin	-1	Jos sinä tulet ikinä tekemään päivääkään työtä niin sen täytyy olla kaltaisiasi varten tarkoitetulla työleirillä, sinä vesipää nulikka.
