	lang	sentiment	text
0	fin	-1	Nää on niin keksittyä skeidaa :)
1	fin	-1	En tietenkään kerro, varsinkaan kun se asia ei kuulu pätkääkään sinulle Marco eikä pj:lle.
2	fin	-1	Huoneistokohtaisesti tosiaan asuntoja haetaan ja useaan kohteeseen olen yrittänyt vuosien aikana eikä onnista :(
3	fin	-1	En jaksa typeriä/ juntteja ihmisiä jotka aina vaan valittaa, enkä myöskään näitä ruoho on vihreämpää aidan toisella puolen läppiä...
4	fin	-1	kyllä varmaa listaa voi jatkaa vaikka kuin mutta tosi asia on se että kepujen leikki on repinyt koko kunnan hajalle.
5	fin	-1	Miksi olet noin kovin hyökkäävä.
6	fin	-1	O-ou...
7	fin	-1	Miksi sivistyneessä Suomessa pitää vapaaehtoisesti rahoittaa tällaista huijarikulttia?
8	fin	-1	Se suuri piru on itsekkyys.
9	fin	-1	tympeetä
10	fin	-1	Eihän tuo ole sinnepäinkään!
11	fin	-1	Mielenkiintoista tosiaan, että yhtään ilkeilevää kirjoitusta ei ilmesty silloin kun sinä et ole paikalla, mutta kaikki nuo eri persoonat ja eri nimimerkit ilmaantuvat sinun mukanasi.
12	fin	-1	Ja miten niin 'ei mitään syytä pitää tätä'?!!
13	fin	-1	Mut toi ämmä ei kertakaikkiaan lopeta polttamista vaikka ei pysty röhinältään edes kaupassa käymään.
14	fin	-1	toki hyvääkin löytyy mutta onpa heistä löytynyt esim. todella pervoja seksiriittejä yms. sanana gnostik merkitsee tietoa eikä siinä siltäosin ole mitään pahaa mutta gnostilaisuus on syvältä.
15	fin	-1	Mielestäni myös Suomella on aika saman kaltaisia ongelmia jo ollut muutamankin hallituksen ajalla, vai ollaan sokeita mitä täällä tapahtuu, työllisyyden parannus lupauksia jen.
16	fin	-1	näkyi makaavan päättömänä jossain siinä Fazerin leipätehtaan paikkeilla; jos joku sattuu tietoa kissastaan kaipaamaan :(
17	fin	-1	Tämä homoylistäjien toivemaa, mites muuten?
18	fin	-1	Ihan peestä nyt tämä touhu..
19	fin	-1	ja lähiaikoina, n.puolen vuoden sisällä on tullut viitisen kiloa lisää, pelkään, että sitä lisääntyy koko ajan vaan!
20	fin	-1	Huonoa musiikkia siellä oli, aivan älyttömän huonoa, peräti Elastinen räppäsi, kamala tyyppi.
21	fin	-1	SEkös s..tanaa ja hänen orjiaan suututtaa!!!
22	fin	-1	Se on kurjaa tehdä pitkiä matkoja kränääjän kanssa ja pian menee matkasuunnitelmat poskelleen tai sitte hermot.
23	fin	-1	Ette te saa muuta aikaa kuin huudatte vaan lisä mamuja ja Mamuilletalp lisää tukia.
24	fin	-1	Myy vaan autos böögeille ja tärise tuolissas
25	fin	-1	Olemme käsittämättömän jääräpäisiä, kun on kyse omien ansioiden metsästämisestä.
26	fin	-1	Aivan turhaa.
27	fin	-1	No nyt jäi kyllä Mika ilman lahjoja tänä jouluna, kun noin pahasti herjaa lähimmäistään!
28	fin	-1	"Haluaisin normaalin pitkän suhteen MUTTA Miehistä nykyään mihinkään ole.Niin alentavaa puhua edes ""miehistä"",keskenkasvuisia äpäröitä suurinosa.Jos jostain sellaisen kunnon miehen löydän niin se on suuri löytö!"
29	fin	-1	?!?!???!!!
30	fin	-1	Tappaa kanssa kaikki!!!
31	fin	-1	Ja mitaan ette voi...
32	fin	-1	"Isästä tulee todella huono ihminen, kelvoton, epäluotettava, vaikka on aikanaan kelvannut mainiosti ""siihen"" puuhaan."
33	fin	-1	JYRKKÄ EI KIERTOLIITTYMÄLLE!
34	fin	-1	Siinä taas saatana aivotonta mädätyspaskaa tuutin täydeltä.
35	fin	-1	Lewandorskymaisessa Liisa ihmemaa mailmassa, kohta me poiijjaat saamma nauraa.
36	fin	-1	Sydän on niin kipeä, etten uskalla itse ottaa yhteyttä.
37	fin	-1	Koska, Herrat sijoittavat Nordean avustuksella Veroparatiiseihin....
38	fin	-1	Siksi vaan niin hemmetin julmaa, kun ei tyypistä mitään kuulu, enkä tiedä missä mennään, vaikka viimeksi kun hän luotani lähti, erottiin ihan hyvissä tunnelmissa.
39	fin	-1	Mua syrjitään aina *snif*
40	fin	-1	Ne nauraa SULLE!
41	fin	-1	väärin
42	fin	-1	ÄLKÄÄ OSTAKO HÄNELTÄ KOIRAA!!!!!
43	fin	-1	Ja tietysti tuo äskeinen henkilö, luultavasti herra saa ampua mielipiteeni kokonaan alas.
44	fin	-1	Vähä ku mua ällöttää tuo läskin sisään uponnut kihlasormus.
45	fin	-1	Huonosta palvelusta ei ikinä pidä antaa tippiä.
46	fin	-1	onnellinen astmaatikko D:
47	fin	-1	Rautalankakauppias - tämä lakiasioiden aloittelija - kirjoittaa todella rumasti ja panettelevasti jopa käräjäoikeuden päätöksestä.
48	fin	-1	Et myöskään tunnu hallitsevan itsenäistä ajattelua.
49	fin	-1	"niistä vaan menee hohto kun on käytetty muutamia kertoja...joskus ne eksyy mukaan mut...noh, musta tuntuu jotenkin inhottavalta ehdottaa liukastetta tms..tulee olo että ""laitetaan tätä kun mä en kiihotu tarpeeksi""... ja edelliselle kirjoittajalle siitä leikistä: meillä on jossain sellanen aikuisten peli(hmm, missäköhän..)jota ollaan joskus pelattu...siin on tehtäviä yms."
50	fin	-1	Kummallista salailua.
51	fin	-1	En ole koskaan ymmärtänyt miksei kutsumanimeä voida laittaa ensimmäiseksi nimeksi!?
52	fin	-1	Toivottavasti kuitenkin he häpesivät.
53	fin	-1	"huh huh! noita vanhan naisen unelmia, ""aloitan tyhjästä yksin"" eiköhän olisi paras jos hakeudut ammattiauttajien pariin ja hoidatat masennuksesi ensin ja sitten alat miettimään mitä tekisin sitten ""isona"" hahahaaa!"
54	fin	-1	Aikoinaan halusin muuten kirjalta edes jotenkin onnellisen lopun, tunnustan häpeillen.
55	fin	-1	Minäkin olin riippuvainen ilokaasusta ennen kuin 400-vuotias munkki mestarini opetti minulle luomuveganismin kauneuden ja kamppailulajien itsekurin.
56	fin	-1	MEDIA KYLVÄÄ SUOMALAISRASISMIA !
57	fin	-1	Kornia että juuri nämä hengellisesti ylen ylpeät jotka eivät välitä Kristuksen heille antamasta todistajan tehtävästä poraavat ensimmäisinä saarnaajien kaulassa, kuinka syntisiä köyhiä he ovat.
58	fin	-1	Älkää kansalaiset menkö halpaan.
59	fin	-1	Jokohan pohjanmaan pojan homostelut käy ilmi?
60	fin	-1	Näen kaikkialla vain huonoja tulevaisuuden näkymiä.
61	fin	-1	Kumman pitkään veikin ennen ko se tuli taas pilaamaan asiallisen viestiketjun.
62	fin	-1	Huh hu
63	fin	-1	Joko se lännen mosse on tännekin sivulle karannut.
64	fin	-1	Palkkioihin (orkestereiden) selvä tupo 50e alv 0% sehän on käypää kyllä muutkin yrittäjät sillä tulee toimeen , ei minun, siis vain minun mielestäni mitään jumalia muusikot ole, et alamaiset uhraa heille mammonaa valtaa ym roinaa
65	fin	-1	Minä olen alkuperäinen hohotin, kerroin sille säälittävälle vinkujalle pariin otteeseen että hän on säälittävä aisankannattaja ja kovin noloa sitä katkeruutta täällä kaikelle kansalle kuuluttaa.
66	fin	-1	Tosi asia on että liian moni lapsi elää vanhemman kanssa joka ei voi taata edes riittävän hyvää lapsuutta ja se on surullista!
67	fin	-1	Nyt voi työväenyhdistys laittaa taas 50 000 euroa vaalikampanjaan.
