lang	sentiment	text	num_tokens
fin	-1	Mamu ja matu eivät ikinä muutu suomalaiseksi, niillä on aina synnyinmaa ykkössijalla, vaikka sieltä on pitänyt paeta mutta ne olot kuitenkin tänne halutaan.	26
fin	-1	Ehei.	2
fin	-1	Tiedätkö miltä tuntuu herätä yksin aamuyöllä ja olla huolissaan onko toinen sammunut katuojaan vai missä lie.	17
fin	-1	On totta, että on isiä, mutta kuule rakas JanHus, oletatko, että se isäkin on kotona 24/7?	21
fin	-1	Tätä tuskaa enempää Maailman epäreiluutta	5
fin	-1	Näkee miten sinua katkeroittaa vieläkin 74 v kuluttua kun neukku ei ajautunut yksin sotaan Saksaa vastaan jo -39 vuonna ja tuhoutunut.	22
fin	-1	Moni täällä hokee, että menneet voi unohtaa ja pitää olla positiivinen.	13
fin	-1	Luonnonraiskauksen massiivisuus on järkyttävää.	5
fin	-1	Joo, Kyrsii, kun aina joutuu joululomalle.	9
fin	-1	Kannattas olla rehellinen eikä huijata vanhuksia.	7
fin	-1	Emme tarvitse presidenttiä joka ei osaa edes englantia	8
fin	-1	Ryssän kanssa kaveeraaminen on sitävastoin suurinta mahdollista typeryyttä!	9
fin	-1	En ymmärrä miksi tai miten, mutta viimeisen lukuvuoden aikana aina, kun olisi ollut tilaisuus jutella tai luoda tuttavuutta, olin kuin en olisi huomannutkaan tyttöä tai vastasin töykeästi/epäkohteliiasti.	31
fin	-1	Tämä on kaikkien ongelmien äiti.	6
fin	-1	:DDDDDDDDDDDDDDDDDD voi vittu nyt siihen menee oma aikansa, suihin otto ei vaan ole kaikkien naisten juttu ja se on varmasi valitettavaa.	24
fin	-1	Naiset ne vaan panee ja panee ja panee ja panee jännämiehiä	11
fin	-1	Höpö höpö.	3
fin	-1	VARATUT ÄLKÄÄ VAIVAUTUKO	3
fin	-1	Lopettakaa pa...kan jauhaminen ja maksakaa mitä olette velkaa.	11
fin	-1	Virolainen oli pakkoruotsihuora.	4
fin	-1	Nämä tyypit ovat mielisairaita, rahan orjia.	8
fin	-1	"2. Toistelin: ""Kuumottavaa shaissea ku tämmösiä netistä löytää!"""	13
fin	-1	Pitää olla suunnilleen zompi jos ei mielialat vähän vaihtele.	10
fin	-1	Älä sorru menemään huoriin.	5
fin	-1	Itse oon yrittänyt ostaa minee mut jotenkin se ei vaa onnistu :'(.	15
fin	-1	Räikkösen rämpiminen jatkuu, vahinko!	6
fin	-1	Enkä ymmärrä tuotakaan, että esitetään väkisin olevansa vahva.	10
fin	-1	sinä oikein höpötät?	4
fin	-1	Niin se jumala rankaisee teitä teennäisiä uskovia	7
fin	-1	säälittävän tappion kera säälittävän provoilusi, väitit sitä aloittajaa vedättäväsi ja hävisit sen homman 6-0.	16
fin	-1	en ihmettele nuita lihavia että miksi ovat niin lihavia, kun sattuu viereen....ihan sairasta, taukoamtonta mässäilyä ja rouskutusta.	22
fin	-1	Olipa huono vitsi :(	5
fin	-1	Onko sukua sille patatyhmä Columbolle jo piti itsensäpaljastajan ammattiasua pitkää popliinitakkia ?	12
fin	-1	ei ihme, että jotkut miehet turhautuu ja alkaa oleen vaan haitaksi kanssaihmisille kun ei jumalauta anneta mahdollisuutta enää tutustuu kunnolla.	22
fin	-1	En pysty.	3
fin	-1	Ja ei enää yhtään elintasopakolaista nautiskelemaan kustannuksellamme maahamme.	9
fin	-1	"Romanit ei voi sietää valkolaisia (enimäkseen), vaikka edessä näyteltäisi kuin hyvää kaveria, niin takanapäin sitä ""ystävää"" haukutaan ihan surutta :("	27
fin	-1	Ei tule ainakaan minulle:/	6
fin	-1	Se lupasi tulla, eipä äijää näkynyt.	8
fin	-1	Suututtaako?	2
fin	-1	Mutta Siperia opettaa tuollaiset teinit vielä!	7
fin	-1	"ja mihinkäs muuten se ""katkera maho"" tällä kertaa unohtu??"	13
fin	-1	Taasko tätä ilmaisen energian vastustajan päähänpinttymien jankutusta..	8
fin	-1	Sitä vain on elävä kuollut, jonka elämällä ei ole enää mitään arvoa.	14
fin	-1	Mikään vaihtoehto ei kyllä puhu puolestasi.	7
fin	-1	3 päivän ajan tuntunut raivostuttavaa sykkimistä ja nyt jopa hieman kutinaa.	12
fin	-1	No miks et sitten sano hintaa kun luulet olavasi niin viisas	11
fin	-1	Tuommoiset sihisevät isin pikku rinssessat laittaa mielellään joku äitipuoli kuriin.	11
fin	-1	Miksi amerikkalaiset roskamotoristi jengit saavat häärätä länsimaissa suhtkoht vapaasti, ei muuta kun rapakon taakse kaikki kansalaisuutesta riippumatta.	19
fin	-1	huh..huh..	4
fin	-1	Tosi sikamaista, munhan pitäisi olla kiitollinen ja iloinen siitä, että en ole joutunut läpikäymään kaikkea paskaa mitä muut ovat.	22
fin	-1	"Ja kerran mainitsin psykologilleni näistä syömisongelmistani, mutta en usko, että hän otti minua tosissaan.
0	1	0	0	4										0	1	20	5	comments2008c.vrt 2498520	Kai sitä vois pikkusen jotakin syödäkkin ja jatkaa tätä hommaa, jotta valmistuu.
1	0	0	0	4										0	-1	4	5	comments2017b.vrt 641830	kleider machen leute
-1	-1	-1	-1	1										1	0	13	5	comments2008f.vrt 1456373	se on niin väärin ja miä oon katkera kaikille ihmisille jotka ite hallitsee elämänsä.
-1	-1	0	-1	2										0	1	12	5	comments2007d.vrt 3167480	Olen huomannut myös muita hyviä provotäkyjä:
0	1	0	0	4										-1	-1	13	5	comments2006d.vrt 1918525	Ajotietokoneen näyttö todella tarkka.
0	-1	0	0	2										0	1	4	5	comments2009f.vrt 3203787	Jos siihen vielä mätkäistään lisäksi vielä ne perintätoimiston kulut, jotka voivat olla moninkertaiset alkuperäiseen saatavaan verrattuna, niin ei se ihan oikein voi olla.
0	0	0	0	3										0	1	18	5	threads2009a.vrt 2589125	tos
0	-1	0	0	2										0	-1	2	5	threads2007b.vrt 318019	Ei oo poikakaveria, ninku kaikilla muilla mun ikäsillä on.
0	0	0	0	3										1	0	16	5	comments2008e.vrt 149138	1) kyllä, ainakin osa muuttuu
-1	-1	0	-1	2										0	1	3	5	comments2006b.vrt 4160705	Vali valivali!
1	-1	-1	-1	2				-1	0	0				0	1	18	5	comments2012a.vrt 1385000	Joo, eipä kyllä lapin miehien maine nyt mitenkään parantunut, vaikkei kaikkia saisikaan tuomita...
-1	-1	-1	-1	1										0	-1	13	5	comments2016c.vrt 202037	Kai nuo juutalaiset jotenkin ansaisivatkin tuon rosvojahan nuo on Mun mittapuussa.
0	-1	0	0	2										0	-1	13	5	comments2017e.vrt 851504	Murhia on tehty ympäri maailmaa esim. Norjassa.
-1	-1	-1	-1	1										0	1	8	5	comments2007e.vrt 3458355	vittu mitä siin o täystehosena jota 40 heppaa...
0	0	0	0	3										0	-1	5	5	comments2006a.vrt 3981784	On syytä korjata oikeinkirjoitusta: - kysytäänpä, ei kysytäämpä"" - mielipidekysely, ei ""mielipide kysely"""	341
fin	-1	Niin itsekäs, että kunhan itse saa, niin mitäpä niistä jotka 'valitsevat' mielestäsi helvetin...	17
fin	-1	Voi luoja...	3
fin	-1	Koko tämä pelleily miehesi reaktiosta oli siis pelkkä peitetarina.	10
fin	-1	Aamuisin hengitys on ns.dog breath-p..a maistuu suussa jne.Ja mietin vain,minkä helvetin takia aloin taas polttaa ja millä motivoin taas lopettamaan uudestaan?	26
fin	-1	Lisää ajotunteja kantsii varmaan ottaa...	6
fin	-1	Se, että kirjoitukset koskettavat päättäjiä ja viranomaisia onkin vaalien alla vaarallista.	13
fin	-1	Tuskin sunkaan nahkas kovin paksua on	6
fin	-1	ja oliko niitä kirjoitusvirheitä.	5
fin	-1	Johan sen näkkkee ku sairasta pikkulastaki kyykytetään minkä ehitään.	10
fin	-1	Naiset jostain syystä saavat kuitenkin melko vapaasti kyylätä nuoria poikia.	11
fin	-1	Luulisi teidän edes ymmärtävän lihomisesta jotain.	7
fin	-1	Siitähän se liitto koostuu,ei mistään tyhjänpäiväisistä lahjoista.	10
fin	-1	Kaikilla on ylihintaa ja asiakkaat luulee saavansa mitää vaan.	10
fin	-1	Pötyä.	2
fin	-1	Siis katekorioidun ilmeisesti epäkypsäksi aikuiseksi naiseksi, koska jätin liikkeen juuri syntyvyyden säännöstelemättömyysvaateen takia.	15
fin	-1	Duunari pysyköön siis lestissään ja jatkakoon itse lohdutonta raatamista.	10
fin	-1	Ensin hamuavat ja rohmuavat jättioptiot ja verohelpotukset ja nyt meinaavat viedä työkansan äänetkin.	14
fin	-1	- haluat siis sairastua tappaviin tauteihin, surulllista	8
fin	-1	Siinä saa ymmärtämättömän kansan sekaisin ja nolaa itsensä!	9
fin	-1	PerSupuolueen petoksesta siis lähdimme kaduille, aktivoiduimme, kuitenkin moraalisina ja lainkuuliaisina kansalaisina (lailla tarkoitamme luonnollista ja tunnustettua Suomen lakia, ei tätä uutta, eurokommunistista, laitonta viranomaisrikollisuutta).	32
fin	-1	Eivät ole rähmällään, kuten Suomi!	7
fin	-1	Katteleppa niitä apukoulun opuksia vähän tarkemmin!	7
fin	-1	Ruotsin kielestä välillisesti tai suoraan aiheutuvia kustannuksia ovat ainakin nämä: - kokonaisten ikäluokkien tarpeettoman laaja pakollisen ruotsin opetus peruskoulusta yliopistoon - henkilötasolla turhaan aineeseen hukattu aika - väärin suunnattu opettajien koulutus - päällekkäinen tai rinnakkainen ruotsinkielinen hallinto - asiapapereiden ja julkaisujen käännöstyö ja painatus - kaksikieliset tie- ja katumerkit - Ahvenanmaa - Ylen ruotsinkielinen tv- ja radiotuotanto	58
fin	-1	Kuka tuollaista perässä roikkuvaa paholaista jaksaisi kuunnella, anna ihmisille oikeus elää rauhassa, teet itsestäsi naurunalaisen kun vaahtoat täälläkin aivan muista asioista, kuin mitkä sinua oikeasti harmittavat: olet vaan niin saatanan kateellinen!	36
fin	-1	Siellä ei ole muita, kun naimisissa olevia keski-ikäisiä ukkomiehiä vonkaamassa naisia salasuhteisiin ja sähköposti paukkuu.	17
fin	-1	Meillä tilanne nyt siis se,että mietin pitäisikö minun hajottaa perhe ja jättää mieheni..	16
fin	-1	Ja niin väsyttää minuakin.	5
fin	-1	Meen tie, onks toi kissa myrkytetty:(	9
fin	-1	-erityisesti vl-liikkeen johdon epärehellisyys ja kaikenlainen venkoilu ja kaksilla korteilla pelaaminen	11
fin	-1	"Aijoo, sinähän keksit ne ""virheet"" itse!"	10
fin	-1	En tunnista tätä maata enää samaksi kuin muutama vuosi sitten.	11
fin	-1	Muslimia on pohjolassa ainavaan lisääntyvässä määrin -nämä pitää tällaisia keinoja kun , rasismi Kuka näiiden kanssa voi neuvotella .	19
fin	-1	Jos et ole Donald Trumph tai nainen ihan tyhmä, niin ei sinulla ole mitään toivoa saada nuorempaa naista.	20
fin	-1	Älkää menkö sinne lähellekkään.	5
fin	-1	Liity meihin ja tule naziksi... homous on downatello ninja.	11
fin	-1	Kaveri aina luulee että mua vituttaa, mut mulla menee tavallaan koko ilta siihen että yritän päästä meininkiin mukaan mut ei..	22
fin	-1	oot vaan kateellinen.	4
fin	-1	Mie kerran 90-luvun lamavuosina yritin, mutta mikhän ei ole perkehleellisempää ko porkkananviljelys....	14
fin	-1	VITTU et on henkisesti köyhää porukkaa...	7
fin	-1	Lindelöfin persläpi	2
fin	-1	Paskareissu, mutta tulipahan tehtyä!	6
fin	-1	"Eniten ""vaikeuksia"" mulle tuottaa se,että en osaa pitää silmiäni erossa tästä toisesta..."	17
fin	-1	mä en tosiaan oo mikään kaunein, eikä mulla oo ees kovin hyvää kroppaa tai isoja tissejä.	18
