lang	sentiment	text	num_tokens
fin	-1	Mutta ne kuuluu jokaiselle ja jos jätkällä on jotain sitä vastaan että mä piereskelen tai käyn kakalla niin on se kumma!	22
fin	-1	Eikä asia parane sillä että yksi kusettaja tutkii toista kusettajaa.	11
fin	-1	Että etköhän sä ilman kikkeliä pärjää päivän-pari!	8
fin	-1	Lopettakaa jo pas,,n jauhaminen, hyvää Joulua kaikille.	11
fin	-1	Mielestäni pääkaupungiseudulla on parempiakin ravintoloita kuin Namaskaar, joka on mielestäni hiukan yliarvostettu.	14
fin	-1	Voi, että mulla on NIIN IKÄVÄ!!!	10
fin	-1	Sairasta ja hengenvaarallista!!!	6
fin	-1	Joko se lännen mosse on tännekin sivulle karannut.	9
fin	-1	Mulla on oikeesti sellainen tunne että ei jaksaisi tätä enää.	11
fin	-1	Mutta surkein tuloksin.	4
fin	-1	Jos sinä tulet ikinä tekemään päivääkään työtä niin sen täytyy olla kaltaisiasi varten tarkoitetulla työleirillä, sinä vesipää nulikka.	20
fin	-1	En uskaltanu käydä kaupassa, hengata kaupungissa, käydä shoppailemassa, puistossa, en missää, ja sitte lopulta kaikki alko vähä kammoksuu mua.	25
fin	-1	Nyt taas koulua narkkareiden kanssa.	6
fin	-1	"-Onko tällainen kommentointi häneltä sitä sivistyneen asia ilmaisua, jossa lentää ""paskan puheet"", -viedä nyt sairaat ja vanukset pois, -kovin persumaista ajattelua."	27
fin	-1	Nyt mulla on rv 40+5 ja paikat olleet järkyttävän kipeät reilu viikon, että oikein tuskaa tekee kaikki!!!	21
fin	-1	Vittu kyllä haltijakin voi vitun autonsa myydä jos vain on sen vitun omistaja suostumus tai joku muu vitun sopimus, vaikkapa jollakin vitun pahvilla.	25
fin	-1	"että kyseinen henkilö oli niitä ""ammattikaatujia"", jolle oli jo muodostunut erittäin voimakas suggestioherkkyys."	17
fin	-1	"JA USA:N F-35 ""HÄIVE""HÄVITTÄJÄ ON TÄYSI FIASKO. TULEVA SOTA ON YDINSOTA."	18
fin	-1	mä tiedän joitain koodeja, muuta en just muista niitä...SORI!!	14
fin	-1	ODOTA AUTOVERON LASKUA!	4
fin	-1	Se kokemus oli aivan katastrofi.	6
fin	-1	• Antaa itsestään usein empaattisen ja ymmärtäväisen vaikutelman jotta voisi manipuloida muita.	13
fin	-1	Ja Juhan valheelliset puhelut mulle Kanarialta, no niihin en viitsi nyt mennä ollenkaan.	15
fin	-1	Vastaveto buskajussille, aloittanut nimimerkki HEHEHE!, joka lienee arvoisa nimimerkki Pyh!.	15
fin	-1	Itselläni kävi tässä kerran niin, että eräs mies käyttäytyi minua kohtaan todella kylmästi, siinä sitten mietin omaa käyttäytymistäni, mitä olin tehnyt väärin...	26
fin	-1	Vaan, kun ainoa mikä seisoo on järki, on tietenkin oltava totaalisen järkähtämättömästi sitä mieltä, että hullu on se nainen, joka ei lankea vanhalle viinalle ja erilaisille eritteille tuoksuvan charmöörin koukkuun.	35
fin	-1	Kohta tekee elämänkertakirjan jossa kertoo avioerostaan ja haukkuu Junoa.	10
fin	-1	Kaksi vuotta Sollilla siivoamassa ja pitäis siitä saada oikein lahja, hahahahah....	13
fin	-1	"Suomi on täynnä ""suomipropakandaa""."	7
fin	-1	lähes aikuisen ihmisen olla niin typerä, että rikkoo itsensä harrastuksillaan.	12
fin	-1	Aika sairasta.	3
fin	-1	Ala-arvoisin provoaloitus, joka on nyt yläpalkkissa on...	9
fin	-1	Kaupallinen syö tuntemattomat (vähävaraiset).	7
fin	-1	Luovutin	1
fin	-1	Niin sairas ihminen ku vaan vittu jööteri mielessä 24/7	9
fin	-1	Lueskelin noita palstan ketjuja ja täytyy sanoa, lohdutonta on, aina sitä samaa jankkausta, olipa aloitus mistä tahansa.	21
fin	-1	Herran viha tulee vielä lankeamaan Ruotsin kansan päälle.	9
fin	-1	Tuolla lukemalla joukkue yleensä häviää...	6
fin	-1	YLE: n ymmärtämätöntä.	5
fin	-1	Avioliitto on kahden kauppa eikä kuten muut kaupat että kaikki on myynnissä kunhan hinnasta sovitaan.	16
