lang	sentiment	text	num_tokens
fin	-1	Jotain vikaa sinussa pitää olla, kun uskot.	9
fin	-1	Saaliksi kavi miehen mukana kulkeva Linda-koira, joten jos aijan muija sattuu taman lukemaan Suomessa niin tietaa missa mennaan.	20
fin	-1	Kyllähän suurempi osa suomalaisista miehistä on ihramahaisia plösöjä Naiset on kaikkien tutkimusten mukaan huomattavasti paremmassa kunnossa kuin saman ikäiset miehet.	21
fin	-1	Siksi mies puhuu silkkaa asiaa ja sekös nyppii Tiltuja!	10
fin	-1	suvaitsevaisuus pahentaa työvoimapulaa, kun töitä annetaan mamuille sen sijaan että niitä annettaisiin suomalaisille nuorille.	16
fin	-1	Ja sinähän voit kyllä vastata kysymykseen, etkä lässyttää joutavanpäiväisiä.	11
fin	-1	pelletki on ehtinyt tänne asti.	6
fin	-1	"Kuten jo aijemmin kirjoitin niin kävi lapsia sääliksi ja siitä voit päätellä että en pitänyt tätä tapausta ihan ""terveesti erilaisena"""	22
fin	-1	Soini pyrkii kohti yhden miehen soinidiktatuuria joka olisi suljetumpi järjestelmä kuin Pohjois-Koreassa.	13
fin	-1	--- kuinka itseään sivistyneinä pitäneet saattoivat mennä sellaiseen ansaan+????	14
fin	-1	Kuinka ja miksi näin lyhyessä ajassa, Suomi kansakuntana rapistui ?	11
fin	-1	Sä olet täällä haukkunut suunnilleen kaikki talon naiset.	9
fin	-1	4) jos hän on vapaaehtoisesti asettunut maahan, josta hän lähti __TAI JONKA ULKOPUOLELLE HÄN JÄI VAINON PELOSTA__; tai	21
fin	-1	Paksumahsiset porvarit eivät uskaltaneet lähteä.	6
fin	-1	Katohan, piirretyistä voi oppia elämää.	7
fin	-1	sinä oikein höpötät?	4
fin	-1	Tämä urpo ei ole tainnut ikinä Alfa 156:ta ajaakaan.	12
fin	-1	"Osaa itse kirjoittaa googleen sanan ""uutiset"", niin eiköhän aivan tarpeeksi riitä luettavaa lukutaitoisille."	17
fin	-1	ne käy jatkuvasti juomassa ja vessassa sitten ne vissiin saa niistä virtsakiviä joten en suosittele	15
fin	-1	Mulla on oikeesti sellainen tunne että ei jaksaisi tätä enää.	11
fin	-1	Minä vihaan nyt.	4
fin	-1	Älä hyvä mies mene sinne Venjälle haureutta harjoittamaan- Saat helvetin elämääsi, eli AIZI-n .....	15
fin	-1	Musta toi ämmä ammeessa on aivan yliveto jutska.	9
fin	-1	Sen vaatiminen itseltä on jopa täysin epäinhimillistä !	8
fin	-1	niitä ongelmia riittää.	4
fin	-1	Syyllinen löytyy lähes aina tuttavapiiristä missä joillakin ei ole omia lapsia tai muuten elämä on päin persettä ja kostetaan pariskunnille joilla on lapsia ja muutenkin vauras elämä.	28
fin	-1	"Tai vaihtoehtoisesti näin, ""ostamasi rakentamaton maa-alue EI OLE SINUN YKSITYIS ALUETTA/YKSITYISALUETTA/YKSITYIS-ALUETTA"""	14
fin	-1	Mutta surkein tuloksin.	4
fin	-1	Harkkokasa tontilla tuntuu vielä hemmetin halvalta ja talopakettifirmojen tarjoukset huiputukselta, mutta siitä ne kustannukset vasta alkavatkin...	18
fin	-1	Ei työnantajille kelpaa mikään.	5
fin	-1	Voi olla että Suomen lasten tulevaisuus ei ole yhtään parempi kuin muidenkaan, kerran kun saatte vihanlietsomisella repäistyä väkivaltakierteen Suomessa.	21
fin	-1	Kommunistit ovat pesseet aivosi tolvana.	6
fin	-1	Kepulainen Hirvonen siirrettiin toisiin hommiin, ettei vain kajoasi kokkareiden puuhiin!	12
fin	-1	"Isot kaupat ""juoksuttavat asiakasta jo ihan tarpeeksi, saat laahustaa kalsariosaston läpi hakemaan maitopurkin 300metrin päästä, minä siirrän samalla kalsareita puuterihyllyyn ;)))"	27
fin	-1	"Muutenkin nuoria miehiä torutaan tyhmiksi, silti eikö se ole ennemmistö miehistä niitä vanhempia jotka lähestyy nuorempia tyttöjä, joiden profiilissa lukee ""EI YLI 10 VUOTTA VANHEMPIA KIITOS"", kuin nuoret miehet lähestymässä 50 naista, jonka profiilissa lukee ""Ei pikkupoikia kiitos."""	47
fin	-1	Siinä voi mennä tosi huonosti mulla.	7
fin	-1	Tupsun lutkutus ei mene vanhemmalle väestölle jakeluun.	8
fin	-1	"Näiden militaristien ja muiden suomijunttien mielestä kun meidän nykysuomalaisten pitäisi vaalia kaikin puolin tämän ""hienon"" talvisotahengen säilymistä, niin ettei nämä ikivanhat ja ""hienot"" perinteet vaan pääsisi häviämään suomalaisnuorten kasvaessa ja muuttuessa liian kansainväliseen suuntaan."""	41
fin	-1	"Taitamattomalle isännöitsijälle voi kolmannenkin luokan ""asiantuntija"" puhua mitä vain."	12
fin	-1	Niin sairas ihminen ku vaan vittu jööteri mielessä 24/7	9
fin	-1	Älkää menkö sinne lähellekkään.	5
fin	-1	En mä tiedä kuinka mä voisin sua neuvoa.	9
fin	-1	Ilman ystäviä ja rakkautta elämä tuntuu niin käsittämättömän pahalta.	10
fin	-1	Mummoja ja muita munahaukkoja me välttelemme.	7
fin	-1	aina kysytään missä olit mitä idioottimaisia olette?	8
fin	-1	Tänne on kauhean	3
fin	-1	ostat uuden töllön kun vanha töllö hajoo??	9
fin	-1	että ei sit enää MITÄÄN juttuja talossa..haamutaloako haluut kattoo ??	13
fin	-1	En ole koskaan saanut mitään niin alhaista ja käsittämättömän irvokkaanrumaa viestii keltään!!!!!!!!!!!!!!!!!!!!!!!!!!!!!	41
fin	-1	Säälittävää säälittävää.	3
fin	-1	olen miettinyt että pitäisikö olla seliaatissa vaikka viikon ennen seuraavaa seksikertaa ja katsoa mitä se tekee asialle....	18
fin	-1	Voisivat opetella osallistumaan keskusteluaiheeseen.	5
fin	-1	"Ei tarvi olla noin ahdasmielinen, vaan annetaan niille jotka siihen sitten muuttaa niin mahdollisuus ""nauttia"" näköaloista.."	20
fin	-1	Potkut työkkäristä!	3
fin	-1	Ehkä kirjoittajien kannattaisi siellä ihan käydä ja todeta kuinka asiat ovat??!!!	16
fin	-1	ainakin televisiosta pitäs lopettaa tommonen turha.	7
fin	-1	Aika kauheeta miten näinkin nuori voi olla näin katkera kuin minä olen.	13
fin	-1	Ärsyttää kun mutsi aina alkaa selittää kuinka..	8
fin	-1	Siksi, koska puheenjohtaja Soini ja työmies Putkonen on heidät pelotellut hiljaiseksi.	13
fin	-1	Onko ne henkisesti vajaita?	5
fin	-1	Laita mietintämyssy päähän jos kuvittelet, ettei tietoja voi valehdella, vaikka kuvalla olisikin varustettu!	16
fin	-1	"Pahaa eliittiä ei ole, koska jos se olisi, sinunlaisesi ""vaihtoehtoisen tiedon"" levittäjät olisi tapettu jo aikaa sitten."	22
fin	-1	Näin se on mutta yhteiskunnallisesti koko touhu on pelkkää tuhlausta.	11
fin	-1	Mitä henkilökohtaisesti olet tehnyt sen eteen että saamme kotimaastamme kristinuskon kiellettyä, muutakin kuin kirjoitellut anonyymina suoli24 ateismipalstalla?	19
fin	-1	Mielestäni tämä murskaaminen vain pyytää dissaamista.	7
fin	-1	Ja ei todellakaan ole mukava törmätä rivoihin asiattomuuksiin!	9
fin	-1	Nyt menee metsään ja pahasti!	6
fin	-1	Hui kauheeta!	3
fin	-1	sinulta jäi vissiin huomaamatta, että nimimerkki viisas kuvittelee maahanmuuttajia maanpettureiksi tai muuten vain syyliisiksi ties mihin... siis kaikkia!	21
fin	-1	Vähemmästäkin ihminen itkee.	4
fin	-1	menee näin: kaipaan, kaipaan sua niin, koska en nähdä sua saa.	15
fin	-1	Virolainen oli pakkoruotsihuora.	4
fin	-1	Olen kauhea kiusaajasi jo tänä iltana.	7
fin	-1	Fiksut hankkii itselleen TÄMÄNKIN kielitaidon eivätkä inise joutavia.	9
fin	-1	LAHDEN ALUERADION TOIMITTAJA EI USKALTANUT MAINITA TÄTÄ ASIAA KUN KESKUSTELTIIN ASUNTOMURTOJEN LISÄÄNTYMISESTÄ LAHDEN SEUDULLA....	15
fin	-1	Nyt olemme eronneet mutta seksiä en ole vieläkään saanut koska en käy baareissa.	14
fin	-1	Epäilempä, että se on vaa joku juntti, joka on katkera näistä hervottoman suurista etuuksista, jota perheelliset saa...	21
fin	-1	Moni mies kokisi vaivaannuttavana, ei yksin ABB.	9
