lang	sentiment	text	num_tokens
est	-1	Korteriühistud põrkavad elamute renoveerimisel elanike vastuseisule, sest nood ei taha vanadest ja sobimatutest  rõduklaasidest loobuda.	17
est	-1	Sain lühikese ajaga näiteks teada, et Silvi Saaremaalt polegi feissbukis. No ja sellepärast ta peabki otsima endale reede õhtuks seltsilist läbi Vikerraadio. Virvel Hiiumaalt on Kersnaga pooleli midagi isiklikku ja ta tegelikult ei tahtnudki raadioeetrisse, aga ikkagi tuli. Inna jälle, kellel pole samuti senimaani meestega kuidagi vedanud, on Kersna arvates libe nagu luts.	61
est	-1	Endine jalgrattur Lance Armstrong, kes sai mullu sügisel eluaegse võistluskeelu, teatas mõni aeg tagasi, et võistleb sellel nädalavehtusel Texases toimuval ujumisvõistlusel, kuid nüüd mehe plaanid nurjusid.	31
est	-1	"Eesti pagulaspäritolu Ühendriikide juudimarksistliku kultuurirevolutsiooni saadus, nagu ta on, on THI alati tahtnud olla midagi ""peenemat"", olla ""Skandinaaviariigi välisminister"", nüüd siis ""Skandinaaviariigi president"", sest sedamoodi on tema meelest rohkem ""koššer"", rohkem ""salongikõlbulik""."	49
est	-1	Politsei pidas kolmapäeval autoroolist kinni joobetunnustega Viivi Sõnajala, kes keeldus alkomeetrisse puhumast, mistõttu ta viidi haiglasse kontrolli. Paar tundi hiljem pidas politsei tee peal kinni sama auto roolis olnud joobetunnustega Siiri Sõnajala, kes oli tulnud oma õde koju viima.	44
est	-1	Tallinn on vastu võtnud dokumendi «Tallinna huvihariduse võrgu arengukava 2007–2017», kus kirjas, et loodus- ja tehnikahuviharidusega on Tallinnas ajaloolistel põhjustel halvasti, aga 2008–2009 oli plaanis eraldada pea 5,5 miljonit krooni uute huvihariduse valdkondade arendamiseks ning keskkonna-, loodus- ja tehnikavaldkonna eelisarendamiseks. Võimalik, et selle tegevuse tulemus ei kajastu Postimehe vahelehes avaldatus, aga tundub, et plaan ei ole väga edukas olnud.	70
est	-1	«Vahe «suurte» ja «väikeste» keelte vahel üha kasvab,» tõdes uuringus osalenud Saksa Tehisintellekti Uuringu Keskuse teadusdirektor Georg Rehm. «Me peame tagama väiksematele ja vähemate ressurssidega keeltele esmatähtsad baastehnoloogiad, kuna muidu surevad need keeled digitaalsetena lihtsalt välja.»	48
est	-1	«Mullu ja tänavu kevadel toimunud poliitiline tagasipööramine Venemaal muutis Saksa avalikkuse meeleolu,» märkis Siegert, kes viitas seksuaalvähemuste ahistamisele ja punkbändi Pussy Riot liikmete vangistamisele, mida tema sõnul peetakse Saksamaal enesestmõistetavalt vääraks. «Angela Merel on avaliku arvamuse suhtes üsna tundlik,» lisas analüütik.  	51
est	-1	Ilmekas oli kolmanda seti seitsmes geim, Kanepi servis seisul 2:4 – topeltviga, lihtviga, servipunkt, servipunkt, lihtviga, topeltviga. Säärase mänguga, eriti kui esimese servi õnnestumisprotsent on kõigest 46, ei võida ka kesist Šarapovat.	42
est	-1	aga anna ise	3
est	-1	Statoil tegelgu vorstikeste soojendamise asemel bensiini müügiga. Hoian neist juba aastaid eemale. Rõve jaam.	17
est	-1	Eile lõuna ajal Tallinnas trammis munitsipaalpolitsei piletikontrolöri rünnanud naise suhtes alustati kriminaalmenetlust.	13
est	-1	"""Illuminati"" standartne trikk: panna välja sobiv fantaasia. Ameeriklased on absurdselt kergeusklikud. Mäletagem ""Obama gets Osama"" fantaasiat."	24
est	-1	VH mõju ongi täpselt sama olematu nagu see VH suurusjärk kogu eesti aja on olnud!	16
est	-1	Mick Jaggeri pruudid on end varemgi meeleheitest tappa tahtnud	9
est	-1	Enamasti ei ole need arvamuse avaldajad oma palga vähenemisega nõus ning sooviksid madalaid palku kõigile teistele peale iseenda ja seda ei saa lugeda eetiliseks mõtlemiseks.	26
est	-1	Poolteist aastat analüüse ja arvutusi, ning paari aasta pärast võiks 100 000 inimest puudutav töövõimetuspensioni reform alata. Aga miks läheb ikka nii, et me ei näe kõigepealt 100 000 kaasmaalase hädist elu, vaid hoopis ohtu sattunud riigieelarvet? Just seepärast mõistab Juhan Lõuna-Eestis ja Ivan Ida-Eestis töövõimetuspensionide reformi nii, et neilt võetakse käest see sada või paarsada eurot, mis on neile viimastel aastatel hädapärase majandusliku kindlustunde taganud.	74
est	-1	Jaak Allik on korduvalt rõhutanud, et Eestist ei sõltu midagi, et Eesti enda kaitsevõime on kolmandajärguline tegur suurriikide omavaheliste suhete ja meie diplomaatilise tarkuse järel. Esmapilgul näib see järjekordse ebameeldiva tõena.	35
est	-1	Tolle 14. lennu lõpetas vaid seitse inimest, koguni kümme langes välja.	13
est	-1	"""Õhutemperatuur oli -10 kraadi, kuid tuule tõttu oli tegelik temperatuur -30 kanti. Pidevalt vähenev hapnikukogus oli samuti külmetavate varvaste ja sõrmede põhjuseks, sest keha ei suutnud vähest hapnikku varvaste ja sõrmedeni välja transportida. Nii kõrgel mäel on see paratamatus."""	46
est	-1	Kas keegi teab mitu kurjategijat see paar on ka vangi saatnud...???	15
est	-1	Alles mullu sügisel jõudis ajakirjandusse skandaalne lugu, kus Afganistanis raskelt haavata saanud kaitseväelased tunnistati sotsiaalkindlustusametis terveks. Noored mehed tulevat ju proteesiga liikudes kenasti toime!	27
est	-1	Siis jääbki üle ka lahkuda mitte soovivatel noortel ja aktiivsetel tegeleda näiteks ettevõtlusega, mille edu puhul kiiresti nähakse, et suured turud on välismaal, või saada spetsialistiks ja avastada, et laias maailmas on rohkem võimalusi.	39
est	-1	Eesti on Euroopaliidu liige ja NATO liige. Kui NATO ja Euroopa riigid ei ole esimesest päevast kohal Eestit kaitsmas, kui Venemaa peaks Eestit ründama siis mina keeran relva Euroopa kui reeturite poole.	35
est	-1	Pärnu maakohtu Haapsalu kohtumaja mõistis detsembris tingimisi vangistuse alaealisele noorukile, kes sulges mullu juunis teise alaealise noore tuppa, sidus ta koormarihmadega tooli külge, kägistas ja lõi teda ning pihustas tuppa putukamürki, kirjutab Läänlane.	38
est	-1	Ei noh, valget nahka naised kindlasti ei häbene. Naised ei taha lihtsalt kiunuvate, õlut libistavate, lohakate, saamatute, põhjendamatult kõrge enesehinnanguga ja pidevalt halavate ja teisi süüdistavate põliseestlastega lapsi saada sest ükski normaalne naine ei taha sinusuguseid taastoota.	44
est	-1	Oma laps pole kunagi liigselt kaitstud. Selliseid juhtumeid olnud varemgi hulgi.	13
est	-1	asi võis ka nii olla, et oligi kasvaja, näitamas, analüüse tegemas käis mitmete arstide juures, opi aga tegi mingis kallis erakliinikus, sealt niisama lihtsalt mingeid andmeid välja ei leki. no ja kui rahaga oli probleeme (pani oma viimased säästud opi alla nt või mida iganes), siis tekkiski daamikese peas oivaline idee. MUIDE, usun siiralt, et oma mõtetega, samuti võimalikult tervislikku toitu süües ja palju värskes õhus viibides on võimalik oma tervist turgutada, isegi märkimisväärselt parandada (kui ollakse tõesti järjekindel), kuid kasvajaid, vähki ja muid raskeid haigusi sellega nüüd küll ei paranda. noh, uskugu igaüks, mida tahab, aga väga alatu on new agest ja mujalt kokkumiksitud jaburdusi tõe põhja serveerida ja sellega kerget raha lollide käest teenida	138
