lang	sentiment	text	num_tokens
fin	-1	On ne vaan kauheita !!	6
fin	-1	ottakaa niskasta kiinni itteenne, kaikille ihmille löytyis kyllä joku tauti jonka turvin ne vois selittää miks tekee jotain ja miks jättää tekemättä, ei muiden tarvi antaa sen enempää sympatiaa jos sille on joku nimi.. haloo.	39
fin	-1	JA NAISETHAN KÄYTTÄYTYVÄT KESKENÄÄN KUIN NAISET TEKEVÄT. JUORUAVAT, JA KEKSIVÄT MIELIKUVITUKSISSAN LISÄÄ JUTTUJA, PANETTELUVIMMASSAAN.	18
fin	-1	Lisää ajotunteja kantsii varmaan ottaa...	6
fin	-1	En tiedä itkeäkö vaiko nauraa...	6
fin	-1	Mutta voi minua raukkaa!	5
fin	-1	"Ja just sillon kun olen väsynyt, tai surullinen, isä alkaa ärsyttämään laulamalla kaikkea minusta, tuntuu niin raskaalta, kun ei pysty pakenemaan, ja jos pyytää että lopettaisi, hän jatkaa entistä ärsyttävämmin, ja usein juttelen surullisena kaverin kanssa koneella, niin isä vaa laulaa vieressä että ""Tietokoneella olen pitkään, olen kahlittu tietokoneeseen kiinni."""	62
fin	-1	Joo, Kyrsii, kun aina joutuu joululomalle.	9
fin	-1	Että vielä syyllistikin sua....	5
fin	-1	Minäkin olen tavannut nörttejä joiden vakio-aamiainen oli roiskeläppä kokiksen kera - yökkis!	13
fin	-1	Ai että sutimaan tällästä asiaa,kun maailmalla on henkensä kaupalla apua tarvitsevia?!!?	17
fin	-1	SIVIILIHINTTIPALVELUS	1
fin	-1	On aika mahdotonta ymmärtää, että puolustuvoimat alistuu jonkun Halosen ja Tuomiojan kaltaisten kommariterroistien painostukseen ja kiristykseen noin helposti ilman mitään vastustus- ja puolustuskykyä ja edes ilman mitään todellista syytä;	31
fin	-1	nyt en enää ollenkaan luota mieheen, enkä halua jättää lasta hänen kanssaan.	14
fin	-1	Et kai tosissa ole, älä jumalauta naurata.	9
fin	-1	Kirjoittaja tuskin tulee koskaan edes perustelemaan väitettään tai jos perustelee sieltä lentää taas kilo käsittämätöntä paskaa.	17
fin	-1	Ai ei maistunut, harmi.	6
fin	-1	Olet sairas.	3
fin	-1	Ei satu yhtään niin on tyhjä pää.	8
fin	-1	Olet kuitenkin sanonut ettei sillä ole mitään merkitystä jollei teini-iässä ole hankkinut jo niitä seksi- ja seurustelukokemuksia - tämä on kuitenkin ristiriidassa sen kanssa jos kuitenkin 18-25-vuotias totaalikokematon mies on jo neitsyt-setä josta sinä ja kaikki muut ajattelette vaan kaikkea negatiivista.	42
fin	-1	Pakotti minut kuuntelemmaan kaikenlaisia inhottavia yksityiskohtia seksiseikkailuistaan tuon naisen kanssa.	11
fin	-1	"En myöskään pidä ""leimaamisesta""."	7
fin	-1	Miten minusta sitten voisi tulla luterilainen, jos alkutilanne on jo tämä!?	14
fin	-1	Perkeleen olet suureksi korottanut	4
fin	-1	Joten lopettakaa kaikenlainen paskanjauhaminen ja katsokaa omaan sydämeenne mitä siellä on.	12
fin	-1	Emme kaikki ole tiedottomassa massassa kelluvia orjia joita hallitakseen ja ohjatakseen ei riittävän kyvykkäiden tarvitse tuntea kuin yhden ainoan tuollaisen massamielen omaavan yksilön päänsisältöä syökseäkseen nuo orjat, nuo tahdottomat lampaat ikuisen hallinnan alaisuuteen.	35
fin	-1	Rahalla on täällä vielä arvoa mikään ei maksa mitään...	10
fin	-1	Ahaa, sinulla on oikein suunnitelma maailman pelastamiseksi.	9
fin	-1	Kaikki hyvätkin aloitukset pitää turmella typerääkin typerimmillä Viroa ja virossa matkailevia mollaavilla kirjoituksilla.	14
fin	-1	En kiistä, mutta pata kattilaa soimaa.	8
fin	-1	ONKO LÄÄKKEESI LOPPU?	4
fin	-1	NO VOI ELÄMÄ!	4
fin	-1	Kaikkein kauheinta oli hirveä meno.	6
fin	-1	"Te luulette tietävänne MINUA paremmin kun olette olleet täällä kauemmin, ""jos inhoan sua ja sua ja sua, se on teidän ongelma, ei MINUN"" jne.jne."	30
fin	-1	PITÄS PYYHKIÄ TUOSTA..PYYHKIKÄÄ JOS JOLLAKIN ON KUMI!! kIITOS! toVOO:YÖHYYPPÄTÄR	16
fin	-1	Nyt voi työväenyhdistys laittaa taas 50 000 euroa vaalikampanjaan.	10
fin	-1	Yksikään ei ole saanut naista pysymään PELKÄLLÄ MULKULLA, oli se kuinka suuri tahansa!	15
fin	-1	Ikävä päätös tälle illalle...	5
fin	-1	NYT LOPPU IHASTUMISET	3
fin	-1	Itse en enää koske tikullakaan värilaaseriin.	7
fin	-1	Heräsin jo varhain rukoilemaan Jumala Jahvea.Sinulle sanon vain että höpö-hopö.	11
fin	-1	hävetkää jos osaatte.	4
fin	-1	Wittu kun oli surkea näyttely.	6
fin	-1	Miksi sivistyneessä Suomessa pitää vapaaehtoisesti rahoittaa tällaista huijarikulttia?	9
fin	-1	Ihanaakatkeraa Persu sarkasmia.	4
fin	-1	Laittakaa sisäpiirijuonet pönttöön ja vetäkää samalla yhtiön eläkeäijät viemäristä alas.	11
fin	-1	Lopettakaa pa...kan jauhaminen ja maksakaa mitä olette velkaa.	11
fin	-1	Liipattu totuus paskaparissa	3
fin	-1	Siis kuivan ja kireän näköinen.	6
fin	-1	Perustelusi ovat täydellisin tietämättömiä ja asenteellisia.	7
fin	-1	Mikä video on seuraavaksi vuorossa, seksivideoko?	8
fin	-1	Mulla on ikävä	3
fin	-1	Mistäköhän johtuu, että karvarintaisten (kultakoru karvojen seassa) ja karvaranteisten etelän miesten ääni on todella usein naisellisen kimittävä?	21
fin	-1	sinun olisi aika tarttua psykiatrisi käteen, vain sairas ihminen puhuu itsestään kolmannessa persoonassa, kuten sinä,tai ei tunne sivupersooniaan, hehe...	25
fin	-1	Kyllä mä tiedän sun laisia jätkiä.	7
fin	-1	Kateelliset äänestää näköjään Cherylle miinusta :)	7
fin	-1	Eilen lupailtiin että lainat maksetaan, mutta tänään yllätys yllätys asiakaspalvelu ei vastaakkaan.	14
fin	-1	Vanhuksia ja mamuja vaan virroille lisää	6
fin	-1	Täräytin tuon idiootin tajuttomaksi.	5
fin	-1	Tunnin tai maksimissaan kaksi tuntia seisoo, sen jälkeen ei samana iltana, ei vaikka mikä olis :(	19
fin	-1	Ei tuolla lue suomea??	6
fin	-1	Pahalla ihmisellä on yksinkertaisesti pahaa tuottava persoonan rakenne.	9
fin	-1	Tämä on yllättävä ja ikävä käänne.	7
fin	-1	Ei minkäänlaisia sosiaalista ammattitaitoa.	5
fin	-1	Olen itse ollut isätön 36-vuotta, vaatimalla ja uhkaamalla sain äidin lopulta kertomaan asiasta.	15
