lang	sentiment	text	num_tokens
fin	-1	Itse pidätän aina laattaa kun joudun sillä meneen.	9
fin	-1	Onko se vaan hyväksyttävä että on sitten vaan ikuinen ongelma eikä muuksi voi muuttua...??	17
fin	-1	Milloin oikein opit että jeesus ei ole uskonto-yhteydessään erisnimi vaan jotain ihan muuta, siksi jeesus kirjoitetaan pienellä kirjaimella.	20
fin	-1	Jäi susta sieluuni syvä haava...	6
fin	-1	Se oli oikeasti kamalaa :( eikä sitä unohda koskaan.	11
fin	-1	VASTATKAA	1
fin	-1	poliitikot kyrsii	2
fin	-1	Tästä voidaan laskea, että Enso-Gutzeitin Pankakosken tehtaan parhaimpina vuosina joukkoon mahtui lähes kymmenen narsistia, joista tosin esimiehet voivat saada pahimpia vahinkoja aikaan niin tuotannossa kuin alaisissaan.	29
fin	-1	yritin puhua järkeä mutta ei..	6
fin	-1	Tunnin tai maksimissaan kaksi tuntia seisoo, sen jälkeen ei samana iltana, ei vaikka mikä olis :(	19
fin	-1	Mun mielestä myös Somalia on toooodella ahdas ja sisäänpäinkääntynyt.	10
fin	-1	Ärkkopee ohitettiin kokonaan!!!!!!!!!!!!	15
fin	-1	Taas pökälehdit näköjään palstalla.	5
fin	-1	- Osa heistä oleilee Suomessa pysyvästi ja sen LISÄKSI ON HAVAITTU (!) henkilöiden lyhyitä käyntejä maassamme, sanoo Supon päällikkö Seppo Nevala.	25
fin	-1	Tai siis palkoista ei ainakaan uutisissa ole hiiskuttukaan, vaan koko ajan on vain toitotettu "osa-aikaorjiksi alistettujen vapauttamista".	21
fin	-1	Halpatuotantoa joka vain on brändätty.	6
fin	-1	En oikein tajua että miksi ylipäätään tänne kirjoitit kun varmaan tiedät itsekin mitä sun on tehtävä.	17
fin	-1	Sitäkin näille onnettomille reppanoille piti saada.	7
fin	-1	Vaikka olisi laki, voi olla ettei marssi tai rynkyn antaminen voi olla se viimeinen virhe.	17
